Descripteur,Explication
Fluide,Pression / Aucune tenue / Ecoulement
Filant,Ecartement lent / fil continu / Longueur
Glissant,Frottement / Pas de resistance
Etalement,Pas de resistance au mouvement
Collant,Adhésion suite à une pression
Penetrant,Aucun résidu après glissement
Gras,Epaisseur du produit entre les doigts
Doux,Toucher sec et glissant
Effet coussin,Rebond suite à deux pressions
Effet cassant,Changement de viscosité à l'étalement
Pelucheux,formation de peluches liées à un film après sechage
Test filant, Aucune informtion actuellement
