Parametre;Pénétrant;G' (Pa);G'' (Pa);JSM (Pa-1);%R;n1 (s);%Jinf;%JKV;%JSM;Moyenne visco 2 et 3;Visco 4.2;Visco 1 - Visco 2;%R (60 s)
Fluide;4,25;12,47;5,82;3,833;15,27%;7,62;84,73%;9,18%;6,09%;0,204;22,59;42,825;1,019
Fluide 9;5;124,25;31,26;3,367;44,74%;3,208;55,26%;28,42%;16,32%;0,437;237,997;664,9;0,763
Fluide 5;8,25;1417,47;153,3;2,61;64,04%;1,383;35,96%;21,35%;42,69%;2,126;1423,01;5088,78;0,3
Non fluide;4,08;23755;7961,67;0,317;47,34%;22,344;52,66%;41,79%;5,55%;6,482;2581;6202,647;0,623
Filant;3,5;29,76;10,71;18,333;35,85%;3,101;64,15%;27,00%;8,85%;0,356;218,713;705,557;0,5
Filant 5;3,17;65,15;15,77;5,8;56,18%;3,051;43,82%;40,76%;15,42%;0,483;332,667;1061,383;0,625
Non Filant;8,25;1417,47;153,3;2,61;64,04%;1,383;35,96%;21,35%;42,69%;2,126;1423,01;5088,78;0,3
Glissant;6,67;569,19;38,72;4,407;75,49%;1,383;24,51%;29,39%;46,11%;3,403;4868,633;8805,582;1,021
Glissant 5;4,75;10771,67;4337,47;0,343;48,27%;21,763;51,73%;43,25%;5,01%;2933,221;3992,633;6332,925;0,526
Non glissant;0,83;15975;4191,3;0,16;49,40%;32,929;50,60%;37,99%;11,41%;22,576;1297,9;24093,506;0,342
Coussin;4,92;73,91;89,88;10;1,64%;4,164;98,36%;1,19%;0,45%;16,976;397,047;829,458;0,766
Coussin 7;7,92;8,5;14,83;23;16,10%;1,593;99,46%;0,25%;0,29%;0,795;4,928;5,282;0,945
Non coussin;4,25;12,47;5,82;3,833;15,27%;7,62;84,73%;9,18%;6,09%;0,204;22,59;42,825;1,019
Cassant;7;193,51;15,46;4,097;69,54%;2,212;30,46%;15,46%;54,08%;1,131;1577,7;1729,999;1,072
Cassant 5;6,67;569,19;38,72;4,407;75,49%;1,383;24,51%;29,39%;46,11%;3,403;4868,633;8805,582;1,021
Non cassant;0,75;679,39;59,42;3,7;62,52%;2,129;37,48%;15,60%;46,92%;3,844;660,067;3508,499;0,605
Etalement;6,67;569,19;38,72;4,407;75,49%;1,383;24,51%;29,39%;46,11%;3,403;4868,633;8805,582;1,021
Etalement 5;4,75;10771,67;4337,47;0,343;48,27%;21,763;51,73%;43,25%;5,01%;2933,221;3992,633;6332,925;0,526
Non étalement;2,25;12596,67;1534,9;1,22;69,83%;19,012;30,17%;30,90%;38,93%;22,42;781,607;26078,404;0,291
Doux;5,75;13489;1086,87;0,224;78,30%;4,192;21,70%;26,72%;51,58%;0;0;0;0
Non doux;0,83;15975;4191,3;0,16;49,40%;32,929;50,60%;37,99%;11,41%;22,576;1297,9;24093,506;0,342
Collant;2,25;12596,67;1534,9;1,22;69,83%;19,012;30,17%;30,90%;38,93%;22,42;781,607;26078,404;0,291
Collant 5;2;432,26;88,27;2,84;57,35%;11,012;42,65%;25,13%;32,23%;5,647;582,41;1967,585;0,98
Non collant;8,83;760,68;136,25;1,897;58,90%;4,426;41,10%;25,53%;33,37%;1,407;396,727;1960,618;0,982
Gras;0,75;679,39;59,42;3,7;62,52%;2,129;37,48%;15,60%;46,92%;3,844;660,067;3508,499;0,605
Gras 5;5,83;643,51;105,95;4,5;51,62%;2,126;48,38%;22,72%;28,90%;2,613;1726,133;4006,728;0,898
Pénétrant;8,25;497,17;80,22;3,803;53,06%;2,085;46,94%;23,08%;29,98%;1,699;1135,133;2553,4;0,962
Non pénétrant;0,5;16047;10671;0,09;38,71%;12,825;61,29%;36,58%;2,13%;3,127;412,78;2012,171;0,64
Pelucheux;3,5;29,76;10,71;18,333;35,85%;3,101;64,15%;27,00%;8,85%;0,356;218,713;705,557;0,5
Non pelucheux;8,25;497,17;80,22;3,803;53,06%;2,085;46,94%;23,08%;29,98%;1,699;1135,133;2553,4;0,962
