Parametre;Collant;Fmax C;Fmax E;Fmax P;Fmax TPA;CoF à 30 s;Pente;?(600) (Pa.s);k
Fluide;0,75;2,25;0,225;0,023;0,025;6,232;-0,034;0,1;1,13
Fluide 9;2,08;4,127;0,689;0,05;0,047;7,49;-0,032;0,15;2,88
Fluide 5;0,5;21,392;5,835;0,272;0,241;21,646;0,183;0,51;0,98
Non fluide;7,42;71,167;35,45;1,67;1,561;8,825;-0,146;1,44;4,26
Filant;8,75;3,132;0,923;0,053;0,053;5,182;-0,03;0,13;0,57
Filant 5;4,92;3,722;0,855;0,061;0,061;6,227;-0,027;0,1;0,47
Non Filant;0,5;21,392;5,835;0,272;0,241;21,646;0,183;0,51;0,98
Glissant;0,33;17,229;4,747;0,243;0,215;7,21;-0,06;0,99;31,18
Glissant 5;5,83;38,898;25,086;1,458;1,281;8,169;-0,109;1,18;7,69
Non glissant;9,42;146,333;35,72;1,959;1,72;4,884;-0,191;5,55;1061,32
Coussin;9,42;25,933;13,233;0,31;0,347;6,5;-0,164;2,42;50,7
Coussin 7;4,92;5,734;0,597;0,03;0,027;7,19;-0,022;0,23;22,22
Non coussin;0,75;2,25;0,225;0,023;0,025;6,232;-0,034;0,1;1,13
Cassant;0,75;7,043;1,606;0,105;0,082;6,907;-0,02;0,35;9,45
Cassant 5;0,33;17,229;4,747;0,243;0,215;7,21;-0,06;0,99;31,18
Non cassant;4,75;21,717;3,814;0,187;0,148;7,288;-0,072;0,55;0
Etalement;0,33;17,229;4,747;0,243;0,215;7,21;-0,06;0,99;31,18
Etalement 5;5,83;38,898;25,086;1,458;1,281;8,169;-0,109;1,18;7,69
Non étalement;9,5;123,667;43,87;2,322;1,719;8,396;-0,994;3,5;72,9
Doux;0;41,629;28,558;2,223;1,992;6,955;-0,252;1,63;13,82
Non doux;9,42;146,333;35,72;1,959;1,72;4,884;-0,191;5,55;1061,32
Collant;9,5;123,667;43,87;2,322;1,719;8,396;-0,994;3,5;72,9
Collant 5;5,17;26,223;3,795;0,128;0,103;7,609;-0,042;1,36;2,49
Non collant;0,33;10,392;1,958;0,123;0,117;11,532;0,018;0,46;5,94
Gras;4,75;21,717;3,814;0,187;0,148;7,288;-0,072;0,55;0
Gras 5;1,75;15,068;3,531;0,177;0,166;12,803;-0,018;0,76;20,86
Pénétrant;2;10,358;2,213;0,121;0,119;12,643;-0,036;0,51;13,58
Non pénétrant;2,58;24,056;10,97;0,521;0,352;7,825;-0,048;1,33;17,97
Pelucheux;8,75;3,132;0,923;0,053;0,053;5,182;-0,03;0,13;0,57
Non pelucheux;2;10,358;2,213;0,121;0,119;12,643;-0,036;0,51;13,58
