Parametre;Doux;Fmax C;Fmin C;?(600) (Pa.s);k
Fluide;2,25;2,25;-2,238;0,1;1,13
Fluide 9;2,58;4,127;-3,867;0,15;2,88
Fluide 5;4,17;21,392;-21,289;0,51;0,98
Non fluide;1;71,167;-63,167;1,44;4,26
Filant;0,75;3,132;-3,381;0,13;0,57
Filant 5;1,25;3,722;-3,929;0,1;0,47
Non Filant;4,17;21,392;-21,289;0,51;0,98
Glissant;1,75;17,229;-20,077;0,99;31,18
Glissant 5;2,33;38,898;-45,794;1,18;7,69
Non glissant;0,25;146,333;-98,8;5,55;1061,32
Coussin;0,92;25,933;-28,215;2,42;50,7
Coussin 7;3,25;5,734;-6,92;0,23;22,22
Non coussin;2,25;2,25;-2,238;0,1;1,13
Cassant;2,58;7,043;-7,185;0,35;9,45
Cassant 5;1,75;17,229;-20,077;0,99;31,18
Non cassant;1,17;21,717;-31,772;0,55;0
Etalement;1,75;17,229;-20,077;0,99;31,18
Etalement 5;2,33;38,898;-45,794;1,18;7,69
Non étalement;0,5;123,667;-91,933;3,5;72,9
Doux;9,42;41,629;-25,466;1,63;13,82
Non doux;0,25;146,333;-98,8;5,55;1061,32
Collant;0,5;123,667;-91,933;3,5;72,9
Collant 5;0,83;26,223;-40,517;1,36;2,49
Non collant;8;10,392;-10,801;0,46;5,94
Gras;1,17;21,717;-31,772;0,55;0
Gras 5;2,25;15,068;-18,06;0,76;20,86
Pénétrant;2,92;10,358;-11,094;0,51;13,58
Non pénétrant;1,08;24,056;-34,276;1,33;17,97
Pelucheux;0,75;3,132;-3,381;0,13;0,57
Non pelucheux;2,92;10,358;-11,094;0,51;13,58
