Bornes;Fmax C;Fmin C;Fmax E;Fmin E;Fmax P;Fmin P;Fmax TPA;Cohésion TPA;Force d'adhésion TPA;JSM (Pa-1);%R;n1 (s);%Jinf;%JKV;%JSM;Moyenne visco 2 et 3;Visco 4.2;Visco 1 - Visco 2;%R (60 s);CoF à 1 s;CoF à 30 s;Moyenne pts;Pente;CoF 1;CoF 10;?(0,01) (Pa.s);?(600) (Pa.s);k;n;G' (Pa);G'' (Pa);tan (?);? DLVE (%);Fluide;Filant;Glissant;Effet coussin;Etalement;Effet cassant;Doux;Collant;Gras;Pénétrant;Pelucheux
Fluide;2,25;-2,238;0,225;-0,14;0,023;-0,01;0,025;0,756;-0,006;3,833;15,27%;7,62;84,73%;9,18%;6,09%;0,204;22,59;42,825;1,019;8,071;6,232;6,793;-0,034;0,069;0,089;53,94;0,1;1,13;0,61;12,47;5,82;0,47;6,73%;9,92;0;8,75;0,17;9,17;2,25;2,25;0,75;5,5;4,25;8,33%
Fluide 9;4,127;-3,867;0,689;-0,524;0,05;-0,02;0,047;0,891;-0,017;3,367;44,74%;3,208;55,26%;28,42%;16,32%;0,437;237,997;664,9;0,763;8,893;7,49;7,868;-0,032;0,055;0,064;665,49;0,15;2,88;0,51;124,25;31,26;0,25;5,50%;9,08;2,58;9,42;2,42;9,33;2,5;2,58;2,08;6,92;5;8,33%
Fluide 5;21,392;-21,289;5,835;-5,027;0,272;-0,164;0,241;0,879;-0,131;2,61;64,04%;1,383;35,96%;21,35%;42,69%;2,126;1423,01;5088,78;0,3;15,918;21,646;20,137;0,183;0,236;0,325;3314,97;0,51;0,98;0,89;1417,47;153,3;0,11;6,09%;4,67;1;7,08;7,67;6,83;1,67;4,17;0,5;4,75;8,25;91,67%
Non fluide;71,167;-63,167;35,45;-30,522;1,67;-1,034;1,561;0,849;-0,914;0,317;47,34%;22,344;52,66%;41,79%;5,55%;6,482;2581;6202,647;0,623;14,484;8,825;10,696;-0,146;0,085;0,081;4050,5;1,44;4,26;0,81;23755;7961,67;0,35;1,20%;0,25;0,5;4,33;7;4,08;0,58;1;7,42;7,33;4,08;0,00%
Filant;3,132;-3,381;0,923;-0,568;0,053;-0,016;0,053;0,898;-0,015;18,333;35,85%;3,101;64,15%;27,00%;8,85%;0,356;218,713;705,557;0,5;6,023;5,182;5,459;-0,03;0,045;0,046;528,2;0,13;0,57;0,73;29,76;10,71;0,36;30,63%;9;9,17;9,25;6,92;8,42;3,58;0,75;8,75;7,83;3,5;66,67%
Filant 5;3,722;-3,929;0,855;-0,641;0,061;-0,021;0,061;0,844;-0,019;5,8;56,18%;3,051;43,82%;40,76%;15,42%;0,483;332,667;1061,383;0,625;7,077;6,227;6,559;-0,027;0,062;0,056;831,38;0,1;0,47;0,71;65,15;15,77;0,24;20,57%;7,67;6,5;8,92;6,42;9,25;7,58;1,25;4,92;7,75;3,17;8,33%
Non Filant;21,392;-21,289;5,835;-5,027;0,272;-0,164;0,241;0,879;-0,131;2,61;64,04%;1,383;35,96%;21,35%;42,69%;2,126;1423,01;5088,78;0,3;15,918;21,646;20,137;0,183;0,236;0,325;3314,97;0,51;0,98;0,89;1417,47;153,3;0,11;6,09%;4,67;1;7,08;7,67;6,83;1,67;4,17;0,5;4,75;8,25;91,67%
Glissant;17,229;-20,077;4,747;-4,29;0,243;-0,124;0,215;0,856;-0,109;4,407;75,49%;1,383;24,51%;29,39%;46,11%;3,403;4868,633;8805,582;1,021;9,459;7,21;7,837;-0,06;0,055;0,047;7635,1;0,99;31,18;0,43;569,19;38,72;0,07;11,63%;6,58;0,5;8,83;8,08;8,83;2,75;1,75;0,33;5,83;6,67;75,00%
Glissant 5;38,898;-45,794;25,086;-23,018;1,458;-0,917;1,281;0,819;-0,774;0,343;48,27%;21,763;51,73%;43,25%;5,01%;2933,221;3992,633;6332,925;0,526;12,22;8,169;9,158;-0,109;0,096;0,087;3118,13;1,18;7,69;0,7;10771,67;4337,47;0,4;1,24%;1,08;0,92;5,83;6,25;4,42;0,58;2,33;5,83;7,33;4,75;0,00%
Non glissant;146,333;-98,8;35,72;-33,44;1,959;-1,445;1,72;0,877;-1,212;0,16;49,40%;32,929;50,60%;37,99%;11,41%;22,576;1297,9;24093,506;0,342;12,907;4,884;6,733;-0,191;0,092;0,049;24958;5,55;1061,32;0,25;15975;4191,3;0,26;0,82%;0,25;8,33;0,75;6,58;0,58;0,08;0,25;9,42;8,5;0,83;0,00%
